athlete_name,competition_track,canonical_position_code,position_family,nationality,active_from,active_to,primary_source_url,secondary_source_url,source_confidence,performance_official,position_excellence,competitive_peak,longevity,international_continental_impact,scout_awards_consensus,hub_elite_score,speed,technique,game_iq,physical,style_tags,profile_headline,development_note,review_status,notes
Gianluigi Buffon,masculino,goleiro,goleiro,Italy,1995,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,93,96,95,98,92,94,94,60,82,94,86,seguranca|longevidade|lideranca,goleiro historico seguro e dominante pela regularidade,Trabalhar posicionamento lideranca e decisao com bola,seed_beta,seed inicial pendente de auditoria completa
Iker Casillas,masculino,goleiro,goleiro,Spain,1999,2020,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,92,95,94,94,94,93,93,63,80,92,82,reflexo|jogos grandes|capitao,goleiro frio em decisoes grandes e reflexos curtos,Trabalhar reflexo leitura de area e controle emocional,seed_beta,seed inicial pendente de auditoria completa
Manuel Neuer,masculino,goleiro,goleiro,Germany,2005,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.86,94,97,96,91,92,95,95,72,88,94,88,jogo com os pes|sweeper keeper|coragem,goleiro moderno agressivo e muito forte com os pes,Trabalhar reposicao leitura fora da area e coragem tecnica,seed_beta,seed inicial pendente de auditoria completa
Oliver Kahn,masculino,goleiro,goleiro,Germany,1994,2008,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.82,91,94,95,90,92,92,92,58,76,91,90,mentalidade|lideranca|reflexo,goleiro intenso dominante e mentalmente competitivo,Trabalhar postura competitiva reflexo e comando defensivo,seed_beta,seed inicial pendente de auditoria completa
Alisson Becker,masculino,goleiro,goleiro,Brazil,2013,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.82,89,92,90,84,87,89,89,66,82,90,86,seguranca|jogo com os pes|decisao,goleiro seguro frio e forte em tomada de decisao,Trabalhar reflexo posicionamento reposicao e comunicacao,seed_beta,seed inicial pendente de auditoria completa
Cafu,masculino,lateral_direito,lateral,Brazil,1994,2008,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.86,93,96,95,94,96,92,95,90,80,84,88,resistencia|amplitude|lideranca,lateral de alta energia constancia e apoio ofensivo,Trabalhar cruzamento recomposicao e repeticao de sprint,seed_beta,seed inicial pendente de auditoria completa
Dani Alves,masculino,lateral_direito,lateral,Brazil,2001,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,95,94,91,93,92,94,88,88,86,82,associacao|amplitude|tecnica,lateral associativo tecnico e criador pelo corredor,Trabalhar passe apoiado cruzamento e tomada de decisao,seed_beta,seed inicial pendente de auditoria completa
Philipp Lahm,masculino,lateral_direito,lateral,Germany,2002,2017,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.86,92,97,94,92,91,94,94,82,86,94,80,inteligencia|versatilidade|controle,lateral cerebral versatil e muito confiavel,Trabalhar leitura posicional passe e controle de ritmo,seed_beta,seed inicial pendente de auditoria completa
Javier Zanetti,masculino,lateral_direito,lateral,Argentina,1995,2014,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,90,94,92,97,90,88,92,84,82,90,88,constancia|lideranca|resistencia,lateral constante competitivo e de grande longevidade,Trabalhar disciplina tatica resistencia e duelo,seed_beta,seed inicial pendente de auditoria completa
Maicon,masculino,lateral_direito,lateral,Brazil,2001,2021,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.78,88,91,90,84,86,85,88,87,83,82,87,potencia|profundidade|cruzamento,lateral potente vertical e agressivo em apoio,Trabalhar apoio em velocidade cruzamento e recomposicao,seed_beta,seed inicial pendente de auditoria completa
