competition_track,canonical_position_code,gap_slot,candidate_name,nationality,active_from,active_to,owner,source_primary,source_secondary,fit_rationale,status,next_action
feminino,lateral_direito,1,Ellie Carpenter,Australia,2017,2026,Helena Martins,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"potencia, profundidade e experiencia competitiva europeia",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,lateral_direito,2,Ashley Lawrence,Canada,2013,2026,Helena Martins,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"regularidade, versatilidade e alto nivel competitivo",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,lateral_esquerdo,1,Selina Cerci,Germany,2017,2026,Helena Martins,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"profundidade, agressividade e teto competitivo alto pelo lado",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,lateral_esquerdo,2,Jonna Andersson,Sweden,2012,2026,Helena Martins,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"consistencia, cruzamento e leitura de corredor",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,lateral_esquerdo,3,Sandy Baltimore,France,2020,2026,Helena Martins,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"tecnica, progressao e impacto ofensivo por fora",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,meia_central,1,Jackie Groenen,Netherlands,2011,2026,Lara Nascimento,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,"cadencia, apoio e leitura interior consistente",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,meia_central,2,Ingrid Engen,Norway,2015,2026,Lara Nascimento,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"controle, versatilidade e impacto estrutural no meio",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,meia_central,3,Walsh Keira,England,2014,2026,Lara Nascimento,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,controle de ritmo e consistencia de meio-campo em elite,approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,ponta_direita,1,Kadidiatou Diani,France,2011,2026,Lara Nascimento,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"velocidade, ruptura e finalizacao em elite europeia",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,ponta_direita,2,Nikita Parris,England,2010,2026,Lara Nascimento,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"profundidade, gol e experiencia internacional",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,ponta_direita,3,Tabitha Chawinga,Malawi,2014,2026,Lara Nascimento,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"explosao, ruptura e teto competitivo ofensivo alto",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,ponta_esquerda,1,Racheal Kundananji,Zambia,2018,2026,Lara Nascimento,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,"potencia, ruptura e agressividade pelo lado esquerdo",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,ponta_esquerda,2,Jule Brand,Germany,2020,2026,Lara Nascimento,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"arranque, drible e impacto progressivo recente",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,ponta_esquerda,3,Raso Hayley,Australia,2012,2026,Lara Nascimento,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,"amplitude, repeticao de corredor e competitividade internacional",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,segundo_atacante,1,Trinity Rodman,United States,2021,2026,Diego Torres,https://www.concacaf.com/,https://www.fifa.com/en/archive,"talento de ruptura, agressividade e teto competitivo alto",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
