competition_track,canonical_position_code,gap_slot,candidate_name,nationality,active_from,active_to,owner,source_primary,source_secondary,fit_rationale,status,next_action
feminino,zagueiro,1,Alex Greenwood,England,2012,2026,Diego Torres,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"zagueira de saida limpa, bola parada e alto nivel competitivo",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
feminino,zagueiro,2,Dominique Janssen,Netherlands,2013,2026,Diego Torres,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,"zagueira de leitura, consistencia e experiencia internacional",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,centroavante,1,Romario,Brazil,1985,2009,Diego Torres,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,"referencia historica de area, definicao e repertorio ofensivo",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,centroavante,2,Ruud van Nistelrooy,Netherlands,1993,2012,Diego Torres,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"finalizacao de area, regularidade e perfil classico de 9",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,centroavante,3,Didier Drogba,Ivory Coast,1998,2018,Diego Torres,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"potencia, jogos grandes e presenca competitiva de elite",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,centroavante,4,Sergio Aguero,Argentina,2003,2021,Diego Torres,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"explosao curta, finalizacao e producao goleadora sustentada",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,meia_ofensivo,1,Francesco Totti,Italy,1992,2017,Lara Nascimento,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,"criacao, ultimo passe e impacto historico entre linhas",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,meia_ofensivo,2,Pavel Nedved,Czech Republic,1991,2009,Lara Nascimento,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,"volume, intensidade e chegada decisiva a partir da criacao",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,meia_ofensivo,3,Juan Roman Riquelme,Argentina,1996,2014,Lara Nascimento,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,"cadencia, passe final e controle criativo do jogo",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,meia_ofensivo,4,Bruno Fernandes,Portugal,2012,2026,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,"volume criativo, assistencia e impacto ofensivo moderno",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
